@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE class {2.00,1.00,0.00}

@DATA
109.000000,6.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.475390,22.080110,11.505500,65.241692,5.205500,0.000000,0.000000,2.000000,0.000000,0.472576,3.259938,7.517021,96.340096,106.699326,37594.179688,31855.166016,10.155500,70.871696,5.105500,0.000000,0.000000,7.000000,0.000000,0.362061,2.902413,7.342588,82.875084,101.309898,37594.179688,31855.166016,0.00
124.000000,7.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.761440,21.721920,16.307001,65.184265,9.757000,0.000000,3.000000,97.000000,0.186938,0.646140,14.182355,20.447239,293.962494,296.113861,52564.750000,46869.937500,15.307000,71.134926,10.107000,0.000000,3.000000,93.000000,0.094993,0.502551,12.240000,18.398781,298.072388,300.579132,52564.750000,46869.937500,0.00
197.000000,12.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,22.000000,11.994499,70.983002,6.894500,0.500000,53.000000,75.000000,0.219091,0.407432,13.246826,19.602652,227.202621,225.743973,44588.878906,25357.375000,11.994499,70.983002,6.894500,0.500000,53.000000,75.000000,0.219091,0.407432,13.246826,19.602652,227.202621,225.743973,44588.878906,25357.375000,0.00
82.000000,5.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.656810,20.346260,24.898998,49.625061,13.649000,0.000000,0.000000,5.000000,0.518714,1.586216,9.779817,13.138765,276.340088,279.462250,52040.550781,47906.265625,24.648998,49.076542,13.249000,0.000000,0.000000,11.000000,0.456332,1.579807,10.028439,13.854155,291.037567,294.567169,52040.550781,47906.265625,0.00
172.000000,9.000000,40.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,12.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.102440,24.373030,26.038500,49.445709,14.638500,0.000000,0.000000,3.000000,0.365480,1.703038,18.057508,23.803596,4.573841,3.468170,51471.378906,46800.000000,25.188499,50.513531,14.188500,0.000000,0.000000,1.000000,0.164089,1.585256,14.044615,19.829433,358.531219,356.877930,51471.378906,46800.000000,0.00
16.000000,2.000000,50.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,5.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.998670,25.591720,23.670500,36.620686,7.970500,0.000000,0.000000,0.000000,0.384916,1.854795,21.862406,31.353085,17.241547,15.312879,39661.332031,36000.000000,23.670500,36.620686,7.970500,0.000000,0.000000,0.000000,0.384916,1.854795,21.862406,31.353085,17.241547,15.312879,39661.332031,36000.000000,0.00
147.000000,8.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.814400,22.943520,34.142002,21.176819,8.842000,0.000000,0.000000,0.000000,0.722564,4.225597,7.952660,10.137691,354.805664,353.884583,49214.613281,46029.414062,34.592003,19.966042,8.342000,0.000000,0.000000,0.000000,0.660755,4.399107,7.920000,10.080000,360.000000,360.000000,49214.613281,46029.414062,0.00
85.000000,5.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.144348,20.863338,24.688000,75.600494,20.087999,0.000000,0.000000,0.000000,0.032216,0.758332,3.259938,5.411986,263.659912,273.813995,53597.730469,49029.937500,23.138000,83.239746,20.138000,0.000000,0.000000,0.000000,0.000000,0.474642,2.099143,2.902413,329.036316,330.255219,53597.730469,49029.937500,0.00
15.000000,2.000000,40.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.130156,25.384248,28.618500,45.707699,15.768499,0.000000,0.000000,0.000000,0.161358,2.126634,5.315336,7.091177,208.300659,203.962494,48159.960938,44881.265625,27.418501,51.095341,16.418501,0.000000,0.000000,0.000000,0.056826,1.786355,4.843305,8.145870,221.987137,224.999893,48159.960938,44881.265625,0.00
70.000000,4.000000,20.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.452622,21.257881,8.316500,59.634544,0.916500,0.000000,0.000000,5.000000,0.020330,0.443352,7.594208,10.440000,238.570480,223.602890,39056.539062,35337.070312,8.316500,59.634544,0.916500,0.000000,0.000000,5.000000,0.020330,0.443352,7.594208,10.440000,238.570480,223.602890,39056.539062,35337.070312,0.00
