@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE class {2.00,1.00,0.00}

@DATA
121.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.295903,21.828392,23.991999,54.802166,14.342000,0.000000,0.000000,0.000000,0.128274,1.348054,21.313093,33.672993,74.320419,83.862839,53113.207031,47236.398438,23.941999,54.789581,14.292001,0.000000,0.000000,0.000000,0.131953,1.344396,22.104116,34.746994,73.926361,84.053238,53113.207031,47236.398438,0.00
102.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.842300,22.547700,-2.055000,86.501587,-4.005000,0.000000,2.000000,56.000000,0.000000,0.071178,7.895416,14.058450,46.847599,13.324542,35685.867188,12346.292969,-0.305000,74.963799,-4.205000,0.000000,2.000000,58.000000,0.002296,0.150078,6.725354,13.202726,74.475830,11.003508,35685.867188,12346.292969,0.00
27.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.107075,24.085188,21.420000,53.616058,11.620000,0.000000,2.000000,59.000000,0.250941,1.184089,7.127636,9.931042,44.999897,46.468742,47124.664062,42268.082031,19.020000,65.553345,12.420000,0.000000,1.000000,43.000000,0.117442,0.758254,5.495161,12.738099,31.607454,42.709366,47124.664062,42268.082031,0.00
15.000000,1.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.695923,24.038865,28.413500,52.168648,17.663500,0.000000,1.000000,35.000000,0.202900,1.851175,3.415260,4.349896,198.435043,204.443939,51346.015625,46800.000000,28.413500,52.168648,17.663500,0.000000,1.000000,35.000000,0.202900,1.851175,3.415260,4.349896,198.435043,204.443939,51346.015625,46800.000000,0.00
57.000000,3.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.993020,22.874330,15.286500,42.729988,2.686500,0.000000,0.000000,10.000000,0.087286,0.995986,13.755579,27.757376,317.121094,316.576508,38719.468750,34938.636719,15.436500,43.077267,2.936500,0.000000,1.000000,42.000000,0.156364,0.999507,30.106850,48.621330,311.121368,315.299957,38719.468750,34938.636719,0.00
26.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.032350,24.637600,19.632502,58.931217,11.382500,0.000000,1.000000,30.000000,0.260859,0.939148,6.877789,9.199390,137.121109,120.579147,40763.597656,36162.718750,19.132502,58.810432,10.882500,0.000000,0.000000,10.000000,0.171227,0.913127,5.692099,8.825508,124.695221,101.768265,40763.597656,36162.718750,0.00
136.000000,7.000000,0.000000,0.000000,0.000000,0.000000,5.000000,3.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.404621,22.951344,18.327002,65.189095,11.677000,0.000000,3.000000,91.000000,0.058385,0.733841,9.693295,20.316889,105.068542,119.744781,40515.777344,35278.332031,16.677000,70.454216,11.276999,0.000000,1.000000,48.000000,0.014514,0.561338,6.840000,11.592894,90.000000,143.841721,40515.777344,35278.332031,0.00
28.000000,2.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.338907,23.948238,16.615999,77.504173,12.665999,0.000000,2.000000,62.000000,0.021143,0.425715,3.075841,6.989936,110.556129,124.508583,44494.878906,39729.550781,14.666000,81.678154,11.566000,0.000000,1.000000,20.000000,0.000000,0.306093,1.018234,1.800000,224.999893,126.869987,44494.878906,39729.550781,1.00
177.000000,9.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.318710,23.795104,15.098000,63.613205,8.248000,0.000000,3.000000,100.000000,0.179683,0.625112,15.484185,21.962950,358.667816,0.939169,36488.515625,12662.088867,15.598000,61.396248,8.198000,0.000000,3.000000,99.000000,0.167287,0.684799,15.484185,22.322901,358.667816,0.924034,36488.515625,12662.088867,0.00
75.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.562950,21.256230,18.952499,54.785778,9.652500,0.000000,2.000000,63.000000,0.183876,0.991231,12.074766,16.657539,190.304794,186.203354,42068.781250,34834.761719,18.302500,59.002018,10.152500,0.000000,2.000000,69.000000,0.158679,0.863007,11.043261,15.725037,199.025696,195.945465,42068.781250,34834.761719,0.00
