10
6325
0.0833333 1 41.66 141.38 93 4969 2.01994  5.8 5.94443 0.809346 0
0.0833333 1 487.757 885.822 32.5 175 2.80971  5.2 6.82529 0.329676 1
0.0833333 1 44.68 146.64 190 4969 2.02  5.8 5.94341 0.807813 1
0.0833333 1 37.33 138.86 14 4955 2.01554  5.8 5.94298 0.816091 0
0.0833333 1 24.27 121.79 9.6 4941 2.01239  5.8 5.94276 0.829893 0
0.0833333 1 37.38 138.96 9 4953 2.01567  5.8 5.94015 0.816072 0
0.0833333 1 24.39 120.96 13.8 4939 2.01263  5.8 5.94001 0.82904 0
0.0833333 1 39.24 142.02 54 4958 2.01833  5.8 5.93904 0.814858 1
0.0833333 1 31.84 129.16 12 4943 2.01362  5.8 5.93863 0.819598 0
0.0833333 1 24.73 121.69 75.7 4936 2.01238  5.8 5.93855 0.828854 0
0.0833333 1 22.98 121.03 6.7 4934 2.01214  5.8 5.93768 0.832057 0
0.0833333 1 22.44 120.94 14.2 4929 2.01173  5.8 5.93643 0.833129 0
0.0833333 1 27.61 129.47 39 4936 2.01355  5.8 5.93613 0.828654 0
0.0833333 1 37.29 138.91 16 4945 2.01561  5.8 5.93564 0.816215 0
0.0833333 1 35.12 136.51 17 4940 2.01498  5.8 5.93532 0.81869 0
0.0833333 1 33.93 142.54 65 4939 2.01549  5.8 5.93284 0.8262 1
0.0833333 1 37.05 140.82 94 4945 2.0168  5.8 5.93237 0.818325 0
0.0833333 1 36.14 141.29 54 4942 2.01607  5.8 5.93171 0.820595 1
0.0833333 1 23.36 120.45 12.3 4926 2.01157  5.8 5.92905 0.830841 1
0.0833333 1 39.966 41.022 32 4942 2.01493  5.8 5.92664 0.755076 1
0.0833333 1 37.41 139.02 8 4938 2.0149  5.8 5.92516 0.816061 0
0.0833333 1 43.35 147.1 50 4949 2.0193  5.8 5.92431 0.810932 1
0.0833333 0.967742 433.206 742.125 21.1 261 2.58276  5.2 6.80374 0.392031 0
0.0833333 0.967742 23.03 121.27 15.1 4922 2.01138  5.8 5.92135 0.832125 0
0.0833333 0.967742 34.434 31.797 25 4935 2.01412  5.8 5.91961 0.765122 1
0.0833333 0.967742 24.48 121.76 26.4 4921 2.01152  5.8 5.91951 0.82943 0
0.0833333 0.967742 23.26 120.64 8.3 4919 2.01122  5.8 5.91814 0.831188 0
0.0833333 0.967742 33.24 136.86 46 4927 2.01342  5.8 5.91715 0.822862 0
0.0833333 0.967742 37.27 138.92 13 4931 2.01491  5.8 5.91614 0.816265 0
0.0833333 0.967742 416.941 73.307 8.5 5027 2.0401  5.9 6.97667 0.733771 0
