11
612
2 1 2 4 1 3 1 0 0 0 0 11
2 1 3 1 1 3 1 0 0 0 0 11
2 1 4 1 7 16 2 0 0 0 0 8
2 1 4 1 2 6 1 0 0 0 0 11
2 1 5 1 3 10 1 0 0 0 0 11
2 1 7 2 3 9 1 0 0 0 0 11
2 1 8 2 1 3 1 0 0 0 0 11
2 1 9 3 6 11 1 0 0 0 0 11
2 1 10 3 2 6 1 0 0 0 0 11
3 1 8 2 2 5 1 0 0 0 0 9
4 1 1 4 3 7 1 0 0 0 0 11
4 1 1 4 2 8 1 0 0 0 0 11
4 1 1 4 2 8 1 0 0 0 0 11
4 1 2 4 2 5 1 0 0 0 0 11
4 1 3 1 2 8 1 0 0 0 0 11
4 1 6 2 2 5 1 0 0 0 0 11
4 1 6 2 2 5 1 0 0 0 0 11
4 1 6 2 3 7 1 0 0 0 0 11
4 1 6 2 2 5 1 0 0 0 0 11
4 1 7 2 2 6 1 0 0 0 0 11
4 1 8 2 2 6 1 0 0 0 0 11
4 1 9 3 2 6 1 0 0 0 0 11
4 1 10 3 2 7 1 0 0 0 0 11
4 1 11 3 2 7 1 0 0 0 0 11
4 1 11 3 1 3 1 0 0 0 0 11
4 1 11 3 2 7 1 0 0 0 0 11
4 1 12 4 2 7 1 0 0 0 0 11
6 1 2 4 2 6 1 0 0 0 0 11
6 1 3 1 2 7 1 0 0 0 0 11
6 1 4 1 1 4 1 0 0 0 0 11
6 1 7 2 4 8 1 0 0 0 0 11
6 1 10 3 2 6 1 0 0 0 0 11
6 1 10 3 2 6 1 0 0 0 0 11
6 1 11 3 2 6 1 0 0 0 0 11
6 1 11 3 2 5 1 0 0 0 0 11
7 1 1 4 2 6 1 0 0 0 0 11
7 1 2 4 1 4 1 0 0 0 0 11
7 1 2 4 2 6 1 0 0 0 0 11
7 1 3 1 2 7 1 0 0 0 0 11
7 1 3 1 2 6 1 0 0 0 0 11
7 1 5 1 1 4 1 0 0 0 0 11
7 1 5 1 2 6 1 0 0 0 0 11
7 1 5 1 2 6 1 0 0 0 0 11
7 1 5 1 2 6 1 0 0 0 0 11
7 1 9 3 2 5 1 0 0 0 0 11
7 1 9 3 2 6 1 0 0 0 0 11
7 1 9 3 2 7 1 0 0 0 0 11
7 1 9 3 2 7 1 0 0 0 0 11
7 1 9 3 2 6 1 0 0 0 0 11
7 1 10 3 2 5 1 0 0 0 0 11
7 1 11 3 2 5 1 0 0 0 0 11
7 1 12 4 1 3 1 0 0 0 0 11
7 1 12 4 4 11 1 0 0 0 0 8
8 1 2 4 1 2 1 0 0 0 0 11
8 1 4 1 2 6 1 0 0 0 0 11
8 1 5 1 2 7 1 0 0 0 0 11
8 1 6 2 2 7 1 0 0 0 0 11
8 1 7 2 2 8 1 0 0 0 0 11
8 1 9 3 2 6 1 0 0 0 0 11
8 1 10 3 2 5 1 0 0 0 0 11
8 1 10 3 2 7 1 0 0 0 0 11
8 1 10 3 2 6 1 0 0 0 0 11
8 1 12 4 2 6 1 0 0 0 0 11
11 1 3 1 2 6 1 0 0 0 0 11
11 1 3 1 2 8 1 0 0 0 0 11
11 1 3 1 2 8 1 0 0 0 0 11
11 1 3 1 2 6 1 0 0 0 0 11
11 1 4 1 1 4 1 0 0 0 0 11
11 1 4 1 2 8 1 0 0 0 0 11
12 1 5 1 2 4 1 0 0 0 0 11
12 1 11 3 4 8 1 0 0 0 0 9
13 1 4 1 2 5 1 0 0 0 0 9
13 1 6 2 1 3 1 0 0 0 0 11
13 1 11 3 1 2 1 0 0 0 0 11
14 1 1 4 4 9 1 1 0 0 0 9
14 1 3 1 2 5 1 0 0 0 0 11
14 1 7 2 1 3 1 0 0 0 0 11
14 1 10 3 3 8 1 0 0 0 0 9
15 1 12 4 2 5 1 0 0 0 0 11
15 1 12 4 2 7 1 0 0 0 0 11
16 1 1 4 2 6 1 0 0 0 0 11
16 1 1 4 1 3 1 0 0 0 0 11
16 1 2 4 1 3 1 0 0 0 0 9
16 1 3 1 2 7 1 0 0 0 0 11
16 1 4 1 2 6 1 0 0 0 0 9
16 1 4 1 1 3 1 0 0 0 0 11
16 1 11 3 1 3 1 0 0 0 0 11
16 1 11 3 2 6 1 0 0 0 0 11
16 1 12 4 1 3 1 0 0 0 0 11
16 1 12 4 1 3 1 0 0 0 0 11
17 1 6 2 9 20 1 0 0 0 0 8
19 1 11 3 4 11 1 0 0 0 0 11
19 1 12 4 2 8 1 0 0 0 0 11
20 1 11 3 2 5 1 0 0 0 0 11
23 1 2 4 2 3 1 0 0 0 0 11
23 1 3 1 3 11 1 0 0 0 0 8
23 1 7 2 4 10 1 0 0 0 0 11
23 1 11 3 1 2 1 0 0 0 0 11
24 1 3 1 2 6 1 0 0 0 0 11
24 1 11 3 6 14 1 0 0 0 0 11
24 1 12 4 1 2 1 0 0 0 0 11
25 1 1 4 1 4 1 0 0 0 0 11
25 1 1 4 2 4 1 0 0 0 0 11
25 1 3 1 2 5 1 0 0 0 0 11
25 1 4 1 2 4 1 0 0 0 0 11
25 1 4 1 1 2 1 0 0 0 0 11
25 1 5 1 2 7 1 0 0 0 0 11
25 1 5 1 1 2 1 0 0 0 0 11
25 1 5 1 3 8 1 0 0 0 0 11
25 1 6 2 2 7 1 0 0 0 0 11
25 1 7 2 1 5 1 0 0 0 0 11
25 1 7 2 4 11 1 0 0 0 0 11
25 1 7 2 1 5 1 0 0 0 0 11
25 1 7 2 1 2 1 0 0 0 0 11
25 1 8 2 2 5 1 0 0 0 0 8
25 1 12 4 2 6 1 0 0 0 0 11
27 2 1 4 1 3 1 0 0 0 0 11
27 2 3 1 2 6 1 0 0 0 0 11
27 2 12 4 1 3 1 0 0 0 0 11
29 2 9 3 5 9 1 0 0 0 0 9
29 2 12 4 1 2 1 0 0 0 0 11
31 3 1 4 1 3 1 0 0 0 0 11
31 3 5 1 2 10 1 0 0 0 0 11
31 3 9 3 2 5 1 0 0 0 0 11
31 3 12 4 2 6 1 0 0 0 0 9
35 4 12 4 3 10 1 0 0 0 0 11
36 4 6 2 3 7 1 0 0 0 0 11
36 4 8 2 1 2 1 0 0 0 0 11
36 4 12 4 2 6 1 0 0 0 0 11
38 5 1 4 1 4 1 0 0 0 0 11
38 5 2 4 1 3 1 0 0 0 0 11
38 5 7 2 2 7 1 0 0 0 0 11
39 5 3 1 1 2 1 0 0 0 0 11
40 5 2 4 3 9 1 0 0 0 0 11
41 6 2 4 1 4 1 0 0 0 0 11
41 6 12 4 2 7 1 0 0 0 0 11
43 6 1 4 2 4 1 0 0 0 0 11
43 6 2 4 1 2 1 0 0 0 0 11
45 6 2 4 2 5 1 0 0 0 0 11
45 6 3 1 1 2 1 0 0 0 0 11
45 6 10 3 4 8 1 0 0 0 0 8
45 6 11 3 2 6 1 0 0 0 0 11
