@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
3.771451,2.239999,1.00
-0.338549,2.239999,1.00
-0.629059,0.000000,1.00
3.480941,0.240000,1.00
-1.629059,0.000000,0.00
3.819490,0.240000,1.00
-1.629059,1.239999,1.00
-0.629059,0.240000,0.00
-1.629059,0.000000,0.00
-0.338549,-0.000001,1.00
3.819490,0.000000,1.00
-0.629059,2.239999,1.00
-1.629059,2.239999,1.00
-0.338549,2.239999,1.00
-1.629059,-1.000000,0.00
-0.629059,2.239999,1.00
3.480941,2.239999,1.00
-1.629059,-0.000001,0.00
-0.629059,0.240000,0.00
-0.338549,2.239999,1.00
3.819490,2.239999,1.00
-1.629059,1.239999,0.00
3.771451,0.999999,1.00
-0.629059,-1.000000,0.00
2.771451,-1.000000,0.00
-1.629059,-1.000000,0.00
-0.629059,2.239999,1.00
3.480941,2.239999,1.00
3.480941,-1.000000,1.00
3.771451,2.239999,1.00
-0.629059,2.239999,1.00
-1.629059,0.999999,1.00
-0.629059,2.239999,1.00
-0.629059,2.239999,1.00
3.819490,0.240000,1.00
-1.629059,1.239999,1.00
-0.338549,2.239999,1.00
-0.629059,1.239999,1.00
2.771451,-1.000000,0.00
2.771451,-1.000000,0.00
-0.629059,2.239999,1.00
3.480941,0.000000,1.00
3.480941,2.239999,1.00
-0.338549,2.239999,1.00
-0.338549,2.239999,1.00
-1.338549,-1.000000,0.00
-0.629059,2.239999,1.00
-0.338549,2.239999,1.00
-0.629059,0.240000,1.00
3.771451,2.239999,1.00
0.000000,0.000000,0.00
-1.629059,-1.000000,0.00
-0.629059,1.239999,0.00
-0.629059,0.240000,0.00
3.480941,2.239999,1.00
-0.338549,0.000000,0.00
-0.629059,1.239999,0.00
-0.629059,2.239999,1.00
-0.629059,0.240000,0.00
-0.629059,1.240000,1.00
3.771451,2.239999,1.00
-0.338549,0.240000,1.00
3.480941,2.239999,1.00
-1.629059,0.000000,0.00
4.110000,0.000000,0.00
-0.338549,0.240000,0.00
-0.338549,2.239999,1.00
2.480941,1.240000,1.00
3.771451,0.240000,1.00
3.771451,2.239999,1.00
3.480941,2.239999,1.00
-0.629059,0.240000,0.00
3.480941,2.239999,1.00
-0.338549,2.239999,1.00
-0.629059,2.239999,1.00
-0.338549,2.239999,1.00
-1.629059,1.239999,0.00
3.771451,2.239999,1.00
-0.629059,1.239999,1.00
3.819490,2.239999,1.00
-1.629059,1.239999,1.00
-0.338549,2.239999,1.00
-0.629059,-1.000000,0.00
3.480941,2.239999,1.00
-0.629059,2.239999,1.00
2.771451,1.239999,1.00
