@Relation urban_new_2021_fold4_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
3,2,12,1,1,0,1,5,64,11
3,2,17,1,2,0,1,5,87,11
3,2,17,1,3,0,1,5,64,11
3,2,5,0,3,0,1,5,56,11
3,2,23,0,4,0,1,5,73,11
3,2,0,0,5,1,1,5,64,11
3,2,13,1,5,1,1,5,87,11
3,2,0,0,5,1,1,5,85,11
3,2,2,0,0,0,1,5,19,11
3,2,1,0,2,0,1,5,64,11
4,2,11,1,6,1,2,5,64,11
4,2,15,1,6,1,2,5,64,11
4,2,17,1,0,0,2,5,56,11
4,2,23,0,1,0,2,5,85,11
4,2,8,1,2,0,2,5,64,11
4,2,9,1,3,0,2,5,64,11
4,2,11,1,5,1,2,5,85,11
4,2,10,1,5,1,2,5,64,11
4,2,0,0,5,1,2,5,92,11
4,2,13,1,6,1,2,5,19,11
4,2,19,1,0,0,2,5,85,11
4,2,22,0,0,0,2,5,64,11
4,2,9,1,1,0,2,5,85,11
4,2,10,1,4,0,2,5,13,8
4,2,4,0,5,1,2,5,92,11
4,2,3,0,5,1,2,5,92,11
4,2,3,0,0,0,2,5,85,11
4,2,18,1,3,0,2,5,85,11
4,2,11,1,3,0,2,5,87,11
4,2,15,1,3,0,2,5,73,11
4,2,17,1,4,0,2,5,47,11
4,2,10,1,5,1,2,5,64,11
4,2,18,1,6,1,2,5,64,11
4,2,18,1,1,0,2,5,64,11
4,2,15,1,1,0,2,5,64,11
4,2,18,1,2,0,2,5,85,11
4,2,8,1,4,0,2,5,85,11
5,2,23,0,5,1,2,5,85,11
5,2,23,0,5,1,2,5,85,11
5,2,1,0,6,1,2,5,85,11
5,2,7,1,0,0,2,5,85,11
5,2,13,1,0,0,2,5,64,11
5,2,5,0,3,0,2,5,85,11
5,2,5,0,3,0,2,5,85,11
5,2,5,0,3,0,2,5,85,11
5,2,5,0,3,0,2,5,85,11
5,2,12,1,4,0,2,5,50,11
5,2,21,0,0,0,2,5,85,11
5,2,1,0,0,0,2,5,85,11
5,2,6,0,1,0,2,5,85,11
5,2,6,0,2,0,2,5,85,11
5,2,11,1,2,0,2,5,82,11
5,2,12,1,4,0,2,5,86,11
5,2,23,0,4,0,2,5,85,11
5,2,3,0,2,0,2,5,64,11
5,2,13,1,2,0,2,5,64,11
5,2,13,1,2,0,2,5,114,11
5,2,21,0,3,0,2,5,64,11
5,2,14,1,3,0,2,5,64,11
5,2,14,1,4,0,2,5,31,11
5,2,3,0,4,0,2,5,81,11
5,2,14,1,5,1,2,5,17,11
5,2,9,1,5,1,2,5,64,11
5,2,7,1,6,1,2,5,85,11
5,2,1,0,6,1,2,5,56,11
5,2,6,0,6,1,2,5,85,11
5,2,20,1,1,0,2,5,64,11
5,2,22,0,1,0,2,5,63,11
5,2,1,0,3,0,2,5,85,11
5,2,2,0,3,0,2,5,64,11
5,2,4,0,3,0,2,5,85,11
5,2,19,1,3,0,2,5,85,11
5,2,19,1,4,0,2,5,85,11
5,2,12,1,5,1,2,5,7,11
5,2,5,0,5,1,2,5,85,11
5,2,20,1,5,1,2,5,85,11
5,2,14,1,5,1,2,5,64,11
5,2,2,0,6,1,2,5,85,11
5,2,19,1,6,1,2,5,92,11
5,2,0,0,0,0,2,5,92,11
6,3,1,0,1,0,2,5,85,11
6,3,8,1,2,0,2,5,85,11
6,3,5,0,2,0,2,5,85,11
6,3,0,0,2,0,2,5,85,11
6,3,20,1,3,0,2,5,64,11
6,3,3,0,4,0,2,5,85,11
6,3,19,1,5,1,2,5,64,11
6,3,6,0,5,1,2,5,64,11
6,3,5,0,5,1,2,5,92,11
6,3,3,0,5,1,2,5,92,11
6,3,16,1,5,1,2,5,85,11
6,3,16,1,1,0,2,5,64,11
6,3,18,1,1,0,2,5,85,11
6,3,12,1,1,0,2,5,19,11
6,3,23,0,1,0,2,5,85,11
6,3,15,1,2,0,2,5,64,8
6,3,21,0,2,0,2,5,19,11
6,3,19,1,4,0,2,5,85,11
6,3,3,0,5,1,2,5,85,11
6,3,3,0,6,1,2,5,120,11
6,3,3,0,0,0,2,5,85,11
6,3,15,1,1,0,2,5,64,11
6,3,19,1,2,0,2,5,19,11
6,3,17,1,2,0,2,5,87,11
6,3,3,0,2,0,2,5,92,11
6,3,23,0,3,0,2,5,85,11
6,3,0,0,5,1,2,5,8,11
6,3,20,1,0,0,2,5,85,11
6,3,10,1,1,0,2,5,19,11
6,3,11,1,1,0,2,5,85,11
6,3,6,0,2,0,2,5,64,11
6,3,11,1,2,0,2,5,64,11
6,3,12,1,4,0,2,5,85,11
6,3,14,1,5,1,2,5,85,11
6,3,4,0,1,0,2,5,92,11
6,3,6,0,1,0,2,5,92,11
6,3,3,0,2,0,2,5,19,11
6,3,8,1,2,0,2,5,64,11
7,3,2,0,4,0,3,5,85,11
7,3,1,0,5,1,3,5,85,11
7,3,22,0,5,1,3,5,85,11
7,3,3,0,6,1,3,5,85,11
7,3,19,1,1,0,3,5,8,11
7,3,13,1,1,0,3,5,64,11
7,3,3,0,1,0,3,5,85,11
7,3,12,1,1,0,3,5,64,11
7,3,14,1,2,0,3,5,64,11
7,3,14,1,3,0,3,5,85,11
7,3,20,1,3,0,3,5,56,11
7,3,20,1,5,1,3,5,17,11
7,3,8,1,6,1,3,5,64,11
7,3,17,1,2,0,3,5,19,11
7,3,22,0,4,0,3,5,64,11
7,3,21,0,4,0,3,5,31,11
7,3,16,1,5,1,3,5,64,11
7,3,17,1,0,0,3,5,85,11
7,3,20,1,2,0,3,5,64,11
7,3,15,1,2,0,3,5,73,11
7,3,6,0,2,0,3,5,85,11
7,3,20,1,3,0,3,5,64,11
7,3,11,1,3,0,3,5,64,11
7,3,15,1,5,1,3,5,92,11
7,3,12,1,5,1,3,5,64,11
7,3,17,1,6,1,3,5,64,11
7,3,9,1,6,1,3,5,47,11
7,3,18,1,0,0,3,5,8,11
7,3,6,0,3,0,3,5,64,11
7,3,20,1,3,0,3,5,17,11
7,3,6,0,4,0,3,5,81,11
7,3,4,0,5,1,3,5,64,11
7,3,8,1,5,1,3,5,19,11
8,3,22,0,6,1,3,5,64,9
8,3,10,1,6,1,3,5,64,11
8,3,14,1,0,0,3,5,85,11
8,3,1,0,1,0,3,5,85,8
8,3,9,1,2,0,3,5,87,8
8,3,21,0,4,0,3,5,85,11
8,3,16,1,4,0,3,5,8,11
8,3,14,1,5,1,3,5,19,11
8,3,18,1,6,1,3,5,105,11
8,3,4,0,6,1,3,5,92,11
8,3,16,1,0,0,3,5,64,11
8,3,23,0,0,0,3,5,64,11
8,3,23,0,3,0,3,5,85,11
8,3,14,1,4,0,3,5,19,11
8,3,0,0,6,1,3,5,64,11
8,3,12,1,6,1,3,5,64,11
8,3,17,1,6,1,3,5,64,11
8,3,12,1,0,0,3,5,78,11
8,3,19,1,1,0,3,5,64,11
8,3,4,0,2,0,3,5,64,11
8,3,9,1,2,0,3,5,39,11
