@Relation urban_new_2017_fold1_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
2,1,14,1,4,0,1,5,95,11
2,1,7,1,1,0,1,5,81,8
2,1,5,0,2,0,1,5,95,11
2,1,14,1,1,0,1,5,107,11
3,2,13,1,1,0,1,5,95,11
3,2,16,1,4,0,1,5,95,11
3,2,19,1,1,0,1,5,95,11
3,2,10,1,4,0,1,5,3,11
3,2,17,1,4,0,1,5,95,11
3,2,14,1,2,0,1,5,107,11
4,2,23,0,6,1,2,5,95,11
4,2,16,1,6,1,2,5,95,11
4,2,13,1,0,0,2,5,95,11
4,2,18,1,3,0,2,5,95,11
4,2,15,1,3,0,2,5,107,11
4,2,20,1,6,1,2,5,95,11
4,2,16,1,4,0,2,5,95,11
4,2,11,1,2,0,2,5,95,11
5,2,19,1,4,0,2,5,95,11
6,3,18,1,6,1,2,5,79,11
6,3,10,1,2,0,2,5,95,11
8,3,14,1,4,0,3,5,84,11
10,4,22,0,6,1,4,5,95,11
10,4,15,1,2,0,4,5,95,11
10,4,13,1,4,0,4,5,95,11
10,4,21,0,6,1,4,5,95,11
10,4,10,1,4,0,4,5,95,11
