@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {5.00,4.00,3.00}

@DATA
-1915.000000,2.000000,1.000000,2.000000,0.034000,0.040000,0.023000,0.036000,1.000000,3.000000,2.000000,0.000000,3.000000,3.00
-1915.000000,2.000000,1.000000,3.000000,0.039000,0.034000,0.028000,0.023000,0.000000,3.000000,1.000000,0.000000,1.000000,3.00
-1915.000000,2.000000,1.000000,2.000000,0.039000,0.039000,0.022000,0.028000,0.000000,3.000000,3.000000,0.000000,2.000000,3.00
-1915.000000,2.000000,1.000000,1.000000,0.035000,0.039000,0.023000,0.022000,1.000000,3.000000,2.000000,0.000000,3.000000,3.00
-1915.000000,2.000000,1.000000,2.000000,0.036000,0.035000,0.026000,0.023000,2.000000,3.000000,4.000000,0.000000,3.000000,3.00
-1915.000000,2.000000,1.000000,3.000000,0.039000,0.036000,0.028000,0.026000,0.000000,3.000000,1.000000,0.000000,1.000000,3.00
-1915.000000,2.000000,1.000000,2.000000,0.040000,0.039000,0.024000,0.028000,0.000000,3.000000,6.000000,0.000000,4.000000,3.00
-1915.000000,2.000000,1.000000,2.000000,0.039000,0.040000,0.028000,0.024000,0.000000,3.000000,1.000000,1.000000,1.000000,3.00
-1915.000000,2.000000,1.000000,2.000000,0.039000,0.039000,0.028000,0.028000,0.000000,3.000000,1.000000,1.000000,1.000000,3.00
-1915.000000,2.000000,1.000000,3.000000,0.039000,0.039000,0.028000,0.028000,0.000000,3.000000,1.000000,1.000000,1.000000,3.00
