@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE class {4.00,3.00,2.00,1.00,0.00}

@DATA
1.000000,1.000000,30.000000,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,10.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.949470,23.778390,19.508001,67.835350,13.408000,0.000000,0.000000,0.000000,0.020805,0.729792,7.100310,9.290511,300.465454,305.537750,51649.878906,46857.105469,18.458000,73.138832,13.558000,0.000000,0.000000,1.000000,0.018047,0.570857,8.225035,11.770403,293.198608,293.428711,51649.878906,46857.105469,0.00
1.000000,1.000000,30.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,4.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.960130,23.791750,26.900000,38.667847,11.650001,0.000000,1.000000,44.000000,0.421029,2.173956,9.422101,11.165805,186.581848,181.847565,51829.839844,40023.757812,25.850000,41.275764,11.700001,0.000000,1.000000,46.000000,0.356075,1.956690,13.849477,17.873556,207.897171,207.597198,51829.839844,40023.757812,0.00
1.000000,1.000000,40.000000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.960130,23.791750,24.800001,44.666065,11.950001,0.000000,2.000000,51.000000,0.466313,1.732289,18.792551,25.842384,16.699326,18.687443,52834.585938,46914.914062,24.000000,45.487019,11.500000,0.000000,1.000000,22.000000,0.341248,1.626932,18.792551,26.415268,16.699326,17.447285,52834.585938,46914.914062,0.00
1.000000,1.000000,40.000000,0.000000,6000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,386.000000,116.000000,80.000000,0.000000,2.000000,30.000000,22.000000,12.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.949470,23.778390,30.708000,26.527273,9.308000,0.000000,0.000000,0.000000,0.796011,3.246277,25.809765,35.785156,22.988754,23.728395,52219.171875,47149.089844,30.308001,44.301487,16.808001,0.000000,0.000000,0.000000,0.661214,2.404325,19.493261,26.009842,4.236320,4.763556,50584.218750,46800.000000,4.00
1.000000,1.000000,50.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,8.000000,0.000000,0.000000,4.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.949470,23.778390,30.208000,26.932730,9.108000,0.000000,0.000000,0.000000,0.683481,3.137487,21.749481,29.951483,12.425935,13.201094,44426.851562,40488.960938,25.158001,44.179848,12.108000,0.000000,0.000000,0.000000,0.066155,1.785130,7.928178,16.215992,357.397491,357.455231,44426.851562,40488.960938,1.00
3.000000,1.000000,40.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,0.000000,8.000000,0.000000,1.000000,5.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.150680,23.752880,23.471500,43.277020,10.271500,0.000000,0.000000,0.000000,0.024612,1.640079,3.960000,9.779817,90.000000,96.340096,53291.277344,48755.597656,22.371500,41.403446,8.621500,0.000000,0.000000,0.000000,0.000000,1.585361,1.527351,3.545589,135.000107,113.962494,53291.277344,48755.597656,0.00
3.000000,1.000000,40.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,6.000000,0.000000,0.000000,4.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.254330,23.785430,29.707001,35.436893,12.807000,0.000000,0.000000,0.000000,0.497379,2.693309,20.124611,28.664682,10.304792,11.592147,52409.820312,47238.425781,25.907000,47.221172,13.807000,0.000000,0.000000,0.000000,0.057869,1.764312,7.421590,15.111424,337.166290,347.619263,52409.820312,47238.425781,0.00
3.000000,1.000000,40.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000000,21.000000,0.000000,0.000000,10.000000,0.000000,7.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,38.150680,23.752880,29.671499,15.763708,0.971500,0.000000,0.000000,0.000000,0.633506,3.508410,17.518356,24.087738,9.462248,9.462261,52047.015625,47069.308594,22.021500,52.028599,11.721500,0.000000,0.000000,0.000000,0.047872,1.270384,7.968939,16.808569,341.564941,350.134247,51872.710938,46893.246094,2.00
3.000000,1.000000,40.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.000000,0.000000,18.000000,0.000000,0.000000,14.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.254330,23.785430,37.507000,22.749756,12.707001,0.000000,0.000000,0.000000,0.755552,4.980876,6.830519,9.000000,18.435053,16.260281,51118.906250,46800.000000,27.407000,57.970562,18.407000,0.000000,0.000000,0.000000,0.017455,1.533959,3.960000,6.849467,180.000000,183.012726,51118.906250,46800.000000,1.00
3.000000,1.000000,40.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,4.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.254330,23.785430,30.957001,36.722477,14.457001,0.000000,0.000000,0.000000,0.577119,2.834971,20.082708,28.291512,14.534496,14.743609,50330.773438,46800.000000,30.657000,37.236687,14.407001,0.000000,0.000000,1.000000,0.464529,2.764286,18.511143,26.368616,13.495748,14.226004,50330.773438,46800.000000,0.00
