@Relation urban_new_2015_fold10_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
3,2,12,1,0,0,1,5,31,11
6,3,19,1,1,0,2,5,8,11
7,3,6,0,5,1,3,5,87,11
8,3,14,1,6,1,3,5,112,11
8,3,16,1,2,0,3,5,19,11
8,3,15,1,4,0,3,5,112,11
8,3,14,1,1,0,3,5,112,11
8,3,0,0,3,0,3,5,8,11
11,4,6,0,0,0,4,5,19,11
11,4,18,1,1,0,4,5,58,11
12,1,15,1,6,1,4,5,5,11
1,1,8,1,3,0,1,5,90,11
1,1,1,0,5,1,1,5,90,11
1,1,21,0,5,1,1,5,90,11
1,1,18,1,6,1,1,5,90,11
1,1,23,0,6,1,1,5,90,11
1,1,23,0,6,1,1,5,90,11
1,1,5,0,0,0,1,5,90,11
1,1,3,0,0,0,1,5,90,11
1,1,17,1,0,0,1,5,67,11
1,1,9,1,2,0,1,5,90,11
1,1,7,1,2,0,1,5,90,11
1,1,17,1,2,0,1,5,67,11
1,1,21,0,3,0,1,5,90,11
1,1,18,1,3,0,1,5,67,11
1,1,1,0,4,0,1,5,90,11
1,1,23,0,4,0,1,5,90,11
1,1,23,0,4,0,1,5,90,11
1,1,18,1,4,0,1,5,67,11
1,1,16,1,6,1,1,5,90,11
1,1,0,0,0,0,1,5,90,11
1,1,2,0,0,0,1,5,90,11
1,1,18,1,1,0,1,5,67,11
1,1,22,0,1,0,1,5,90,11
1,1,12,1,2,0,1,5,67,8
1,1,14,1,2,0,1,5,131,11
1,1,20,1,2,0,1,5,100,11
1,1,2,0,3,0,1,5,9,11
1,1,8,1,3,0,1,5,30,11
1,1,7,1,3,0,1,5,91,11
1,1,19,1,3,0,1,5,67,11
1,1,22,0,3,0,1,5,91,11
1,1,17,1,4,0,1,5,122,11
1,1,15,1,4,0,1,5,90,11
1,1,3,0,5,1,1,5,90,11
1,1,17,1,5,1,1,5,67,11
1,1,20,1,6,1,1,5,90,11
1,1,16,1,6,1,1,5,58,11
1,1,12,1,6,1,1,5,67,11
1,1,11,1,6,1,1,5,90,11
1,1,2,0,6,1,1,5,90,11
1,1,20,1,1,0,1,5,67,11
1,1,23,0,2,0,1,5,67,11
1,1,16,1,2,0,1,5,67,11
1,1,14,1,3,0,1,5,67,11
1,1,3,0,4,0,1,5,90,11
1,1,23,0,5,1,1,5,67,11
1,1,18,1,0,0,1,5,67,11
1,1,11,1,1,0,1,5,90,11
1,1,18,1,1,0,1,5,90,11
1,1,15,1,2,0,1,5,48,11
1,1,21,0,2,0,1,5,100,11
