30
10957
71.9 60.5 71.9 60.5 66 59.4 80.1 0.122 100 8.33 3 0 0 0 19.5 332.2 1012.8 71 8 0 0 0 0 0.91 3 22.1666666666667 15.8333333333333 1995 1 28 2
71.7 60.9 71.7 60.9 65.9 55.4 70.1 0.001 100 4.17 3 0 0 0 25.3 179.5 1016.9 60.7 12.6 0 0 0 0 0.95 3 22.0555555555556 16.0555555555556 1995 1 29 2
75.3 60.2 75.3 60.2 66.9 53.4 63.1 0 0 0 0 0 0 0 30 187.8 1014.5 24.6 12.5 0 0 0 0 0.98 1 24.0555555555556 15.6666666666667 1995 1 30 2
75.3 59.1 75.3 59.1 66.9 57.5 73.3 0 0 0 0 0 0 0 24.2 298.4 1010.6 43.9 9.7 0 0 0 0 0 1 24.0555555555556 15.0555555555556 1995 1 31 2
71.3 62.3 71.3 62.3 66.1 60 82.1 0.205 100 8.33 3 0 0 0 20.8 215.5 1014.7 76.9 6.2 0 0 0 0 0.05 3 21.8333333333333 16.8333333333333 1995 2 1 2
80.7 59.1 80.4 59.1 69.6 57.9 68.5 0.001 100 4.17 3 0 0 0 23 196.3 1016.7 12.6 12.2 0 0 0 0 0.08 3 27.0555555555556 15.0555555555556 1995 2 2 2
80.7 62.7 82.4 62.7 71.2 62.1 75 0 0 0 0 0 0 0 24.2 212.8 1013.7 12.3 12.2 0 0 0 0 0.11 2 27.0555555555556 17.0555555555556 1995 2 3 2
89.7 65.6 88.4 65.6 75.5 60.6 62.5 0 0 0 0 0 0 0 21.9 214 1010.8 10.7 11.8 0 0 0 0 0.14 2 32.0555555555556 18.6666666666667 1995 2 4 2
95.1 65 94.7 65 75.6 62.9 68.6 0 0 0 0 0 0 0 16.9 209 1009.2 27.3 10.8 0 0 0 0 0.18 1 35.0555555555556 18.3333333333333 1995 2 5 2
80.7 63.8 81.5 63.8 71 62.2 75.1 0 0 0 0 0 0 0 28.9 325.8 1008.6 43.3 9.6 0 0 0 0 0.21 1 27.0555555555556 17.6666666666667 1995 2 6 2
77.1 65.6 77.1 65.6 70.2 63.7 80.7 0 0 0 0 0 0 0 18.6 280.3 1013.5 70.7 9.8 0 0 0 0 0.25 1 25.0555555555556 18.6666666666667 1995 2 7 2
78.9 64.5 78.9 64.5 70.5 61.5 74.5 0 0 0 0 0 0 0 32.2 185.2 1017.9 30.1 12.6 0 0 0 0 0.27 1 26.0555555555556 18.0555555555556 1995 2 8 2
91.5 59.1 88.8 59.1 74.3 55.5 56.5 0 0 0 0 0 0 0 19.8 186.8 1013.2 6.9 11.6 0 0 0 0 0.3 2 33.0555555555556 15.0555555555556 1995 2 9 2
78.9 66.3 78.9 66.3 71.1 62 74.2 0 0 0 0 0 0 0 27.5 186.3 1012.7 36.4 11.4 0 0 0 0 0.34 1 26.0555555555556 19.0555555555556 1995 2 10 2
73.5 64.1 73.5 64.1 68.5 55.3 63.9 0 0 0 0 0 0 0 32.2 179.4 1015.4 27.6 12.7 0 0 0 0 0.37 1 23.0555555555556 17.8333333333333 1995 2 11 2
78.9 64.7 78.9 64.7 70.7 55.9 60.6 0 0 0 0 0 0 0 23.3 194.7 1013.3 23.3 12.4 0 0 0 0 0.4 1 26.0555555555556 18.1666666666667 1995 2 12 2
78.9 62.7 78.9 62.7 68.7 62.1 81 0 0 0 0 0 0 0 18.3 195.3 1011.5 74.9 8.2 0 0 0 0 0.43 1 26.0555555555556 17.0555555555556 1995 2 13 2
77.6 63.6 77.6 63.6 68.8 57.1 68.3 0.021 100 4.17 3 0 0 0 19.5 182.9 1015.3 46.6 10.9 0 0 0 0 0.46 3 25.3333333333333 17.5555555555556 1995 2 14 2
72.2 63.6 72.2 63.6 67 55.2 66.7 0 0 0 0 0 0 0 33.3 179 1017.2 57.6 12.6 0 0 0 0 0.5 1 22.3333333333333 17.5555555555556 1995 2 15 2
77.1 63.7 77.1 63.7 69.5 55.7 62.4 0 0 0 0 0 0 0 28.9 180.4 1017.7 30.1 13.1 0 0 0 0 0.53 1 25.0555555555556 17.6111111111111 1995 2 16 2
89.7 62 87.5 62 73.8 56.5 57.7 0 0 0 0 0 0 0 17.2 217.4 1015 12.3 11.8 0 0 0 0 0.57 2 32.0555555555556 16.6666666666667 1995 2 17 2
85.4 60.9 83.6 60.9 69.9 60.1 73.9 0 0 0 0 0 0 0 21.9 327.6 1010.5 28.7 11.1 0 0 0 0 0.6 1 29.6666666666667 16.0555555555556 1995 2 18 2
78.9 57.3 78.9 57.3 68.9 59 73.4 0 0 0 0 0 0 0 16.1 210.9 1010.6 28.4 9.5 0 0 0 0 0.64 1 26.0555555555556 14.0555555555556 1995 2 19 2
70.1 57.8 70.1 57.8 64.7 56.6 76.8 0.017 100 4.17 3 0 0 0 20.8 176.4 1015.5 82.3 7.8 0 0 0 0 0.68 3 21.1666666666667 14.3333333333333 1995 2 20 2
72.1 56.6 72.1 56.6 65.7 50.3 58.5 0 0 0 0 0 0 0 36.7 172 1017.8 31.8 12.4 0 0 0 0 0.71 1 22.2777777777778 13.6666666666667 1995 2 21 2
84.3 51.9 82.6 51.9 68.2 54.5 63.7 0 0 0 0 0 0 0 33.3 195.7 1013 2.6 9.9 0 0 0 0 0.75 2 29.0555555555556 11.0555555555556 1995 2 22 2
77.1 60.9 77.1 60.9 68.7 60.8 77.2 0 0 0 0 0 0 0 31.1 204.6 1012.5 17 9 0 0 0 0 0.78 2 25.0555555555556 16.0555555555556 1995 2 23 2
82.7 64.5 82.6 64.5 72.7 60.6 67.8 0 0 0 0 0 0 0 24.2 207.3 1012 13.2 12.4 0 0 0 0 0.82 2 28.1666666666667 18.0555555555556 1995 2 24 2
93.3 62.7 92 62.7 73.6 60.9 68.5 0 0 0 0 0 0 0 20.8 202.5 1010.3 40.5 9.4 0 0 0 0 0.85 1 34.0555555555556 17.0555555555556 1995 2 25 2
91.5 59.1 90.2 59.1 70.9 59 69.2 0 0 0 0 0 0 0 15.6 285.1 1009.3 31.7 8.3 0 0 0 0 0.89 1 33.0555555555556 15.0555555555556 1995 2 26 2
75.3 60.9 75.3 60.9 67 61.7 83.8 0 0 0 0 0 0 0 20.8 333.9 1011.6 86 5.1 0 0 0 0 0.93 1 24.0555555555556 16.0555555555556 1995 2 27 2
73.7 62.5 73.7 62.5 67.9 55.4 65.7 0.009 100 4.17 3 0 0 0 30.1 162.5 1018.2 63.5 9 0 0 0 0 0.96 3 23.1666666666667 16.9444444444444 1995 2 28 2
86.1 60.9 84.6 60.9 74.3 55.9 54.4 0 0 0 0 0 0 0 23 179.1 1017 28.1 13.2 0 0 0 0 0 1 30.0555555555556 16.0555555555556 1995 3 1 2
87.9 57.3 85.5 57.3 72.8 55.6 57.6 0 0 0 0 0 0 0 16.1 200.7 1012.9 19.9 12.5 0 0 0 0 0.03 2 31.0555555555556 14.0555555555556 1995 3 2 2
78.9 62.3 78.9 62.3 69.6 59.1 70.7 0 0 0 0 0 0 0 17.2 318.4 1013.5 11.3 11.7 0 0 0 0 0.06 2 26.0555555555556 16.8333333333333 1995 3 3 2
80.7 57.8 80.4 57.8 67.6 59 77.6 0 0 0 0 0 0 0 13.9 205.6 1014.8 34.9 7.3 0 0 0 0 0.09 1 27.0555555555556 14.3333333333333 1995 3 4 2
76 64.5 76 64.5 68.7 61.6 79.4 0.004 100 4.17 3 0 0 0 27.5 184.5 1017.7 59.1 8.8 0 0 0 0 0.13 3 24.4444444444444 18.0555555555556 1995 3 5 2
