@Relation urban_new_2025_fold10_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
9,4,2,0,0,0,3,14,128,11
8,3,11,1,4,0,3,54,77,11
1,1,19,1,2,0,1,63,128,11
11,4,14,1,5,1,4,8,91,11
11,4,19,1,5,1,4,68,128,11
7,3,17,1,1,0,3,3,91,11
4,2,1,0,1,0,2,59,96,11
4,2,15,1,1,0,2,25,101,11
12,1,14,1,0,0,4,69,128,9
6,3,11,1,6,1,2,59,89,11
7,3,16,1,1,0,3,25,96,11
10,4,15,1,2,0,4,85,101,11
1,1,21,0,2,0,1,85,67,11
5,2,12,1,3,0,2,59,101,11
3,2,20,1,5,1,1,30,77,9
2,1,1,0,5,1,1,2,128,11
5,2,21,0,3,0,2,68,98,11
2,1,17,1,6,1,1,32,91,11
2,1,14,1,6,1,1,8,128,11
1,1,20,1,3,0,1,38,91,11
3,2,14,1,5,1,1,32,101,11
6,3,14,1,6,1,2,30,101,11
7,3,16,1,1,0,3,77,91,11
1,1,23,0,3,0,1,15,128,11
5,2,15,1,3,0,2,53,128,11
2,1,13,1,6,1,1,3,128,11
11,4,21,0,5,1,4,43,128,11
2,1,16,1,6,1,1,3,91,9
12,1,18,1,0,0,4,59,128,11
6,3,0,0,0,0,2,25,89,11
7,3,17,1,2,0,3,41,91,11
4,2,20,1,2,0,2,36,128,11
4,2,14,1,2,0,2,76,77,11
3,2,19,1,6,1,1,61,77,11
5,2,2,0,4,0,2,8,89,11
3,2,18,1,6,1,1,71,110,11
7,3,15,1,2,0,3,44,128,11
4,2,14,1,2,0,2,3,25,11
7,3,8,1,2,0,3,17,77,11
3,2,21,0,6,1,1,8,128,11
5,2,13,1,4,0,2,22,91,11
6,3,7,1,0,0,2,20,128,11
7,3,14,1,2,0,3,74,101,11
7,3,12,1,2,0,3,76,128,11
7,3,13,1,2,0,3,30,77,9
4,2,19,1,2,0,2,7,77,11
5,2,8,1,4,0,2,20,128,11
6,3,16,1,0,0,2,61,101,11
7,3,18,1,2,0,3,79,101,11
12,1,13,1,1,0,4,46,68,11
8,3,23,0,5,1,3,11,89,11
8,3,11,1,5,1,3,2,128,11
10,4,22,0,3,0,4,50,101,11
10,4,6,0,3,0,4,10,77,11
10,4,15,1,3,0,4,46,20,9
8,3,20,1,5,1,3,22,128,11
11,4,22,0,6,1,4,73,40,11
12,1,18,1,1,0,4,20,128,11
9,4,18,1,1,0,3,7,101,11
9,4,16,1,1,0,3,14,91,11
10,4,18,1,3,0,4,8,67,11
8,3,17,1,5,1,3,8,101,11
8,3,21,0,5,1,3,14,67,11
10,4,16,1,3,0,4,79,101,11
9,4,18,1,1,0,3,54,101,11
12,1,18,1,1,0,4,79,101,11
12,1,20,1,1,0,4,37,89,11
8,3,9,1,5,1,3,22,77,11
12,1,22,0,1,0,4,15,67,11
12,1,22,0,1,0,4,3,128,11
12,1,9,1,1,0,4,11,67,11
8,3,17,1,5,1,3,3,128,11
