@Relation urban_new_2019_fold5_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
1,1,10,1,4,0,1,5,88,11
1,1,10,1,3,0,1,5,85,11
1,1,13,1,0,0,1,5,88,11
2,1,18,1,6,1,1,5,88,11
3,2,18,1,6,1,1,5,88,11
3,2,18,1,0,0,1,5,88,11
3,2,12,1,6,1,1,5,88,11
3,2,9,1,6,1,1,5,88,11
3,2,14,1,0,0,1,5,88,11
3,2,19,1,1,0,1,5,88,11
3,2,19,1,2,0,1,5,88,11
3,2,14,1,5,1,1,5,85,11
4,2,19,1,3,0,2,5,88,11
4,2,21,0,3,0,2,5,85,11
4,2,19,1,2,0,2,5,88,11
4,2,10,1,3,0,2,5,101,11
4,2,16,1,6,1,2,5,88,11
4,2,12,1,0,0,2,5,1,11
4,2,12,1,5,1,2,5,88,11
5,2,11,1,2,0,2,5,88,11
5,2,13,1,3,0,2,5,88,11
5,2,18,1,6,1,2,5,88,11
6,3,11,1,0,0,2,5,88,11
6,3,18,1,1,0,2,5,85,9
6,3,1,0,3,0,2,5,73,11
7,3,19,1,2,0,3,5,88,11
7,3,22,0,5,1,3,5,88,11
7,3,12,1,3,0,3,5,88,11
11,4,13,1,5,1,4,5,101,11
12,1,20,1,3,0,4,5,88,11
4,2,18,1,5,1,2,5,4,11
5,2,15,1,6,1,2,5,4,11
6,3,18,1,6,1,2,5,85,11
7,3,20,1,0,0,3,5,113,11
7,3,12,1,0,0,3,5,31,11
7,3,0,0,2,0,3,5,4,11
8,3,12,1,6,1,3,5,106,11
8,3,4,0,0,0,3,5,4,11
8,3,16,1,2,0,3,5,4,11
8,3,9,1,3,0,3,5,4,11
8,3,17,1,2,0,3,5,4,11
9,4,12,1,3,0,3,5,94,11
10,4,18,1,0,0,4,5,5,11
1,1,16,1,1,0,1,5,62,11
1,1,8,1,4,0,1,5,95,11
1,1,22,0,4,0,1,5,62,11
1,1,1,0,5,1,1,5,38,11
1,1,19,1,5,1,1,5,85,11
1,1,23,0,5,1,1,5,85,11
1,1,23,0,6,1,1,5,62,11
1,1,13,1,6,1,1,5,62,11
1,1,3,0,6,1,1,5,85,11
1,1,17,1,0,0,1,5,62,11
1,1,4,0,1,0,1,5,85,11
1,1,23,0,2,0,1,5,86,11
1,1,14,1,2,0,1,5,95,11
1,1,8,1,3,0,1,5,73,11
1,1,22,0,3,0,1,5,85,11
1,1,5,0,4,0,1,5,85,11
1,1,6,0,4,0,1,5,85,11
1,1,5,0,6,1,1,5,85,11
1,1,6,0,6,1,1,5,85,11
1,1,1,0,0,0,1,5,85,11
1,1,13,1,0,0,1,5,85,11
1,1,17,1,1,0,1,5,95,11
1,1,23,0,1,0,1,5,62,11
1,1,13,1,2,0,1,5,62,11
1,1,14,1,2,0,1,5,95,11
1,1,0,0,2,0,1,5,55,11
1,1,18,1,2,0,1,5,85,11
1,1,14,1,3,0,1,5,42,11
1,1,21,0,3,0,1,5,62,11
1,1,13,1,3,0,1,5,81,11
1,1,17,1,4,0,1,5,62,11
1,1,1,0,4,0,1,5,98,11
1,1,12,1,4,0,1,5,81,11
1,1,3,0,5,1,1,5,95,11
1,1,5,0,5,1,1,5,85,11
1,1,3,0,5,1,1,5,85,11
1,1,4,0,5,1,1,5,85,11
1,1,3,0,5,1,1,5,126,11
1,1,4,0,5,1,1,5,85,11
1,1,20,1,5,1,1,5,21,11
1,1,5,0,5,1,1,5,95,11
1,1,11,1,5,1,1,5,62,11
1,1,4,0,6,1,1,5,56,11
1,1,7,1,6,1,1,5,62,11
1,1,15,1,6,1,1,5,85,11
1,1,23,0,3,0,1,5,62,11
1,1,9,1,4,0,1,5,105,11
1,1,4,0,4,0,1,5,54,11
1,1,10,1,4,0,1,5,62,8
1,1,13,1,5,1,1,5,62,11
1,1,23,0,6,1,1,5,85,11
1,1,22,0,0,0,1,5,85,11
1,1,13,1,1,0,1,5,95,11
2,1,16,1,5,1,1,5,62,11
2,1,14,1,5,1,1,5,16,11
